name,0
mSHRenderMatrixRed.00,-0.00845
mSHRenderMatrixRed.01,0.00234
mSHRenderMatrixRed.02,0.0149
mSHRenderMatrixRed.03,-0.00546
mSHRenderMatrixRed.10,0.00234
mSHRenderMatrixRed.11,0.00845
mSHRenderMatrixRed.12,0.00767
mSHRenderMatrixRed.13,0.06021
mSHRenderMatrixRed.20,0.0149
mSHRenderMatrixRed.21,0.00767
mSHRenderMatrixRed.22,-0.00856
mSHRenderMatrixRed.23,0.00035
mSHRenderMatrixRed.30,-0.00546
mSHRenderMatrixRed.31,0.06021
mSHRenderMatrixRed.32,0.00035
mSHRenderMatrixRed.33,0.26763
mSHRenderMatrixGreen.00,-0.02021
mSHRenderMatrixGreen.01,0.00495
mSHRenderMatrixGreen.02,0.03112
mSHRenderMatrixGreen.03,-0.01143
mSHRenderMatrixGreen.10,0.00495
mSHRenderMatrixGreen.11,0.02021
mSHRenderMatrixGreen.12,0.01521
mSHRenderMatrixGreen.13,0.12078
mSHRenderMatrixGreen.20,0.03112
mSHRenderMatrixGreen.21,0.01521
mSHRenderMatrixGreen.22,-0.0205
mSHRenderMatrixGreen.23,-0.00007
mSHRenderMatrixGreen.30,-0.01143
mSHRenderMatrixGreen.31,0.12078
mSHRenderMatrixGreen.32,-0.00007
mSHRenderMatrixGreen.33,0.49155
mSHRenderMatrixBlue.00,-0.01539
mSHRenderMatrixBlue.01,0.00348
mSHRenderMatrixBlue.02,0.02188
mSHRenderMatrixBlue.03,-0.00799
mSHRenderMatrixBlue.10,0.00348
mSHRenderMatrixBlue.11,0.01539
mSHRenderMatrixBlue.12,0.01166
mSHRenderMatrixBlue.13,0.08682
mSHRenderMatrixBlue.20,0.02188
mSHRenderMatrixBlue.21,0.01166
mSHRenderMatrixBlue.22,-0.01512
mSHRenderMatrixBlue.23,0.00064
mSHRenderMatrixBlue.30,-0.00799
mSHRenderMatrixBlue.31,0.08682
mSHRenderMatrixBlue.32,0.00064
mSHRenderMatrixBlue.33,0.3514
xFogColour.x,0.3
xFogColour.y,0.6
xFogColour.z,0.9
xFogColour.w,1
xFogStart,15
xFogEnd,250
xFogMax,0.25
mKeyLightColour.x,0
mKeyLightColour.y,0
mKeyLightColour.z,0
mKeyLightColour.w,0
mKeyLightDirection.x,0.01
mKeyLightDirection.y,-1
mKeyLightDirection.z,-0.02
mCascadedShadowDistances.x,4
mCascadedShadowDistances.y,8
mCascadedShadowDistances.z,12
mCascadedShadowDistances.w,7.5
mDefaultShadowMixRate,1
mBloomScale,9
mBlurWidth,4
mBlurDeviation,8
mExposureMinimum,0.5
mExposureMaximum,0.7
xDesiredLuminance,0.05
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.4
mCSMMaxYHeight,6
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,2
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,4
mBloom2Width,8
mBloom2Deviation,8
mBloom3Scale,6
mBloom3Width,12
mBloom3Deviation,8
mColourCubeIdx,5
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mCharacterRimLightColour.x,0
mCharacterRimLightColour.y,1
mCharacterRimLightColour.z,1.5
mZombieRimLightColour.x,0
mZombieRimLightColour.y,1
mZombieRimLightColour.z,1
mTintColour.x,0.9
mTintColour.y,1.1
mTintColour.z,0.9
mContrastMidpoint,0.5
mContrast,1
mSaturation,0.7
