name,0
mSHRenderMatrixRed.00,0.00993
mSHRenderMatrixRed.01,-0.00126
mSHRenderMatrixRed.02,-0.00814
mSHRenderMatrixRed.03,-0.00777
mSHRenderMatrixRed.10,-0.00126
mSHRenderMatrixRed.11,-0.00993
mSHRenderMatrixRed.12,-0.00289
mSHRenderMatrixRed.13,0.04503
mSHRenderMatrixRed.20,-0.00814
mSHRenderMatrixRed.21,-0.00289
mSHRenderMatrixRed.22,0.02992
mSHRenderMatrixRed.23,0.01061
mSHRenderMatrixRed.30,-0.00777
mSHRenderMatrixRed.31,0.04503
mSHRenderMatrixRed.32,0.01061
mSHRenderMatrixRed.33,0.22442
mSHRenderMatrixGreen.00,0.00467
mSHRenderMatrixGreen.01,-0.0006
mSHRenderMatrixGreen.02,-0.00564
mSHRenderMatrixGreen.03,-0.0029
mSHRenderMatrixGreen.10,-0.0006
mSHRenderMatrixGreen.11,-0.00467
mSHRenderMatrixGreen.12,-0.00303
mSHRenderMatrixGreen.13,0.03099
mSHRenderMatrixGreen.20,-0.00564
mSHRenderMatrixGreen.21,-0.00303
mSHRenderMatrixGreen.22,0.01673
mSHRenderMatrixGreen.23,0.00054
mSHRenderMatrixGreen.30,-0.0029
mSHRenderMatrixGreen.31,0.03099
mSHRenderMatrixGreen.32,0.00054
mSHRenderMatrixGreen.33,0.14849
mSHRenderMatrixBlue.00,0.00568
mSHRenderMatrixBlue.01,-0.00068
mSHRenderMatrixBlue.02,-0.00608
mSHRenderMatrixBlue.03,-0.00152
mSHRenderMatrixBlue.10,-0.00068
mSHRenderMatrixBlue.11,-0.00568
mSHRenderMatrixBlue.12,-0.00364
mSHRenderMatrixBlue.13,0.03669
mSHRenderMatrixBlue.20,-0.00608
mSHRenderMatrixBlue.21,-0.00364
mSHRenderMatrixBlue.22,0.01872
mSHRenderMatrixBlue.23,-0.00692
mSHRenderMatrixBlue.30,-0.00152
mSHRenderMatrixBlue.31,0.03669
mSHRenderMatrixBlue.32,-0.00692
mSHRenderMatrixBlue.33,0.17829
xFogColour.x,0.05
xFogColour.y,0.325
xFogColour.z,0.15
xFogColour.w,1
xFogStart,0
xFogEnd,80
xFogMax,0.25
mKeyLightColour.x,0.5
mKeyLightColour.y,0.3
mKeyLightColour.z,0.3
mKeyLightColour.w,0
mKeyLightDirection.x,1
mKeyLightDirection.y,-1
mKeyLightDirection.z,-1
mCascadedShadowDistances.x,4
mCascadedShadowDistances.y,8
mCascadedShadowDistances.z,12
mCascadedShadowDistances.w,7.5
mDefaultShadowMixRate,1
mBloomScale,1
mBlurWidth,1
mBlurDeviation,1
mExposureMinimum,0.4
mExposureMaximum,1.9
mDesiredLuminance,0.07
mTransitionRate,0.06
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.65
mCSMMaxYHeight,25
mAttenuatedLightDirection.x,0.001
mAttenuatedLightDirection.y,-0.999
mAttenuatedLightDirection.z,0.001
mNumActiveShadowCascades,4
mBloom1Scale,1.5
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,2
mBloom2Width,8
mBloom2Deviation,8
mBloom3Scale,4
mBloom3Width,16
mBloom3Deviation,8
mColourCubeIdx,1
mKeyLightMinSpecularColour.x,0.3
mKeyLightMinSpecularColour.y,0.3
mKeyLightMinSpecularColour.z,0.3
mCharacterRimLightColour.x,1
mCharacterRimLightColour.y,1.5
mCharacterRimLightColour.z,1.6
mZombieRimLightColour.x,1
mZombieRimLightColour.y,1.5
mZombieRimLightColour.z,1.6
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mTintColour.x,1
mTintColour.y,1.1
mTintColour.z,1
mContrastMidpoint,0.5
mContrast,1.1
mSaturation,0.65
mSunLightDirection.z,-1
