name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783,-0.03783
mSHRenderMatrixRed.01,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154
mSHRenderMatrixRed.02,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093
mSHRenderMatrixRed.03,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403
mSHRenderMatrixRed.10,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154,-0.00154
mSHRenderMatrixRed.11,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783,0.03783
mSHRenderMatrixRed.12,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212
mSHRenderMatrixRed.13,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092
mSHRenderMatrixRed.20,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093,-0.00093
mSHRenderMatrixRed.21,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212,0.01212
mSHRenderMatrixRed.22,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986,-0.02986
mSHRenderMatrixRed.23,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437
mSHRenderMatrixRed.30,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403,-0.00403
mSHRenderMatrixRed.31,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092,0.10092
mSHRenderMatrixRed.32,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437
mSHRenderMatrixRed.33,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604,0.51604
mSHRenderMatrixGreen.00,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086,-0.02086
mSHRenderMatrixGreen.01,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074
mSHRenderMatrixGreen.02,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042
mSHRenderMatrixGreen.03,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218
mSHRenderMatrixGreen.10,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074,-0.00074
mSHRenderMatrixGreen.11,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086,0.02086
mSHRenderMatrixGreen.12,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714
mSHRenderMatrixGreen.13,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425
mSHRenderMatrixGreen.20,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042
mSHRenderMatrixGreen.21,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714
mSHRenderMatrixGreen.22,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617,-0.01617
mSHRenderMatrixGreen.23,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424
mSHRenderMatrixGreen.30,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218,-0.00218
mSHRenderMatrixGreen.31,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425,0.05425
mSHRenderMatrixGreen.32,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424,0.02424
mSHRenderMatrixGreen.33,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017,0.30017
