name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628,-0.00628
mSHRenderMatrixRed.01,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002
mSHRenderMatrixRed.02,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408
mSHRenderMatrixRed.03,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414,0.00414
mSHRenderMatrixRed.10,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002,-0.00002
mSHRenderMatrixRed.11,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628,0.00628
mSHRenderMatrixRed.12,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127
mSHRenderMatrixRed.13,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746,0.01746
mSHRenderMatrixRed.20,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408,0.00408
mSHRenderMatrixRed.21,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127
mSHRenderMatrixRed.22,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383,-0.00383
mSHRenderMatrixRed.23,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214
