name,0
mSHRenderMatrixRed.00,0.00138
mSHRenderMatrixRed.01,-0.00086
mSHRenderMatrixRed.02,0.00198
mSHRenderMatrixRed.03,-0.00165
mSHRenderMatrixRed.10,-0.00086
mSHRenderMatrixRed.11,-0.00138
mSHRenderMatrixRed.12,-0.00255
mSHRenderMatrixRed.13,0.0053
mSHRenderMatrixRed.20,0.00198
mSHRenderMatrixRed.21,-0.00255
mSHRenderMatrixRed.22,0.00964
mSHRenderMatrixRed.23,-0.00263
mSHRenderMatrixRed.30,-0.00165
mSHRenderMatrixRed.31,0.0053
mSHRenderMatrixRed.32,-0.00263
mSHRenderMatrixRed.33,0.03999
mSHRenderMatrixGreen.00,0.00134
mSHRenderMatrixGreen.01,-0.00148
mSHRenderMatrixGreen.02,0.00185
mSHRenderMatrixGreen.03,-0.00433
mSHRenderMatrixGreen.10,-0.00148
mSHRenderMatrixGreen.11,-0.00134
mSHRenderMatrixGreen.12,-0.00406
mSHRenderMatrixGreen.13,0.0086
mSHRenderMatrixGreen.20,0.00185
mSHRenderMatrixGreen.21,-0.00406
mSHRenderMatrixGreen.22,0.01017
mSHRenderMatrixGreen.23,-0.01135
mSHRenderMatrixGreen.30,-0.00433
mSHRenderMatrixGreen.31,0.0086
mSHRenderMatrixGreen.32,-0.01135
mSHRenderMatrixGreen.33,0.05029
mSHRenderMatrixBlue.00,0.00117
mSHRenderMatrixBlue.01,-0.00165
mSHRenderMatrixBlue.02,0.00166
mSHRenderMatrixBlue.03,-0.00512
mSHRenderMatrixBlue.10,-0.00165
mSHRenderMatrixBlue.11,-0.00117
mSHRenderMatrixBlue.12,-0.00447
mSHRenderMatrixBlue.13,0.00953
mSHRenderMatrixBlue.20,0.00166
mSHRenderMatrixBlue.21,-0.00447
mSHRenderMatrixBlue.22,0.00979
mSHRenderMatrixBlue.23,-0.01442
mSHRenderMatrixBlue.30,-0.00512
mSHRenderMatrixBlue.31,0.00953
mSHRenderMatrixBlue.32,-0.01442
mSHRenderMatrixBlue.33,0.05186
xFogColour.x,0
xFogColour.y,0.15
xFogColour.z,0.2
xFogColour.w,1
xFogStart,50
xFogEnd,500
xFogMax,0.1
mKeyLightColour.x,0
mKeyLightColour.y,0.15
mKeyLightColour.z,0.3
mKeyLightColour.w,0
mKeyLightDirection.x,0.2
mKeyLightDirection.y,-0.4
mKeyLightDirection.z,0.28
mCascadedShadowDistances.x,7.5
mCascadedShadowDistances.y,30
mCascadedShadowDistances.z,75
mCascadedShadowDistances.w,7.5
mBloomScale,1
mBlurWidth,1
mBlurDeviation,1
mExposureMinimum,1
mExposureMaximum,1.5
mDesiredLuminance,0.055
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.35
mCSMMaxYHeight,26
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,1
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,1.25
mBloom2Width,5.5
mBloom2Deviation,8
mBloom3Scale,1.5
mBloom3Width,50
mBloom3Deviation,8
mColourCubeIdx,1
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mCharacterRimLightColour.x,0
mCharacterRimLightColour.y,1.5
mCharacterRimLightColour.z,3
