name,0
mSHRenderMatrixRed.00,0.02353
mSHRenderMatrixRed.01,-0.0006
mSHRenderMatrixRed.02,-0.00125
mSHRenderMatrixRed.03,0.00007
mSHRenderMatrixRed.10,-0.0006
mSHRenderMatrixRed.11,-0.02353
mSHRenderMatrixRed.12,0.00027
mSHRenderMatrixRed.13,0.15806
mSHRenderMatrixRed.20,-0.00125
mSHRenderMatrixRed.21,0.00027
mSHRenderMatrixRed.22,0.01872
mSHRenderMatrixRed.23,0.00562
mSHRenderMatrixRed.30,0.00007
mSHRenderMatrixRed.31,0.15806
mSHRenderMatrixRed.32,0.00562
mSHRenderMatrixRed.33,0.61432
mSHRenderMatrixGreen.00,0.02634
mSHRenderMatrixGreen.01,-0.00047
mSHRenderMatrixGreen.02,-0.00111
mSHRenderMatrixGreen.03,0.00019
mSHRenderMatrixGreen.10,-0.00047
mSHRenderMatrixGreen.11,-0.02634
mSHRenderMatrixGreen.12,0.00009
mSHRenderMatrixGreen.13,0.1557
mSHRenderMatrixGreen.20,-0.00111
mSHRenderMatrixGreen.21,0.00009
mSHRenderMatrixGreen.22,0.02195
mSHRenderMatrixGreen.23,0.0051
mSHRenderMatrixGreen.30,0.00019
mSHRenderMatrixGreen.31,0.1557
mSHRenderMatrixGreen.32,0.0051
mSHRenderMatrixGreen.33,0.63589
mSHRenderMatrixBlue.00,0.0311
mSHRenderMatrixBlue.01,-0.00049
mSHRenderMatrixBlue.02,-0.00086
mSHRenderMatrixBlue.03,0.00045
mSHRenderMatrixBlue.10,-0.00049
mSHRenderMatrixBlue.11,-0.0311
mSHRenderMatrixBlue.12,-0.00082
mSHRenderMatrixBlue.13,0.15002
mSHRenderMatrixBlue.20,-0.00086
mSHRenderMatrixBlue.21,-0.00082
mSHRenderMatrixBlue.22,0.02747
mSHRenderMatrixBlue.23,0.00401
mSHRenderMatrixBlue.30,0.00045
mSHRenderMatrixBlue.31,0.15002
mSHRenderMatrixBlue.32,0.00401
mSHRenderMatrixBlue.33,0.68259
xFogColour.x,1.5
xFogColour.y,3.5
xFogColour.z,0.5
xFogColour.w,1
xFogStart,1.5
xFogEnd,150
xFogMax,0.35
mKeyLightColour.x,0.6
mKeyLightColour.y,0.7
mKeyLightColour.z,0.8
mKeyLightColour.w,0
mKeyLightDirection.x,0.2
mKeyLightDirection.y,-0.4
mKeyLightDirection.z,0.28
mCascadedShadowDistances.x,7.5
mCascadedShadowDistances.y,30
mCascadedShadowDistances.z,75
mCascadedShadowDistances.w,7.5
mBloomScale,1
mBlurWidth,1
mBlurDeviation,1
mExposureMinimum,0.7
mExposureMaximum,0.9
xDesiredLuminance,0.1
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.35
mCSMMaxYHeight,26
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,1
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,1.25
mBloom2Width,5.5
mBloom2Deviation,8
mBloom3Scale,1.5
mBloom3Width,50
mBloom3Deviation,8
mColourCubeIdx,1
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mSunScale,1
mSunMultiplier.x,1
mSunMultiplier.y,1
mSunMultiplier.z,1
mSunLightDirection.x,0.2
mSunLightDirection.y,-0.4
mSunLightDirection.z,0.28
