name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381,-0.03381
mSHRenderMatrixRed.01,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
mSHRenderMatrixRed.02,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
mSHRenderMatrixRed.03,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264
mSHRenderMatrixRed.10,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
mSHRenderMatrixRed.11,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381,0.03381
mSHRenderMatrixRed.12,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881
mSHRenderMatrixRed.13,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581
mSHRenderMatrixRed.20,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002
mSHRenderMatrixRed.21,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881,0.00881
mSHRenderMatrixRed.22,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081,-0.03081
mSHRenderMatrixRed.23,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301
mSHRenderMatrixRed.30,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264,0.01264
mSHRenderMatrixRed.31,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581,0.08581
mSHRenderMatrixRed.32,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301,0.00301
mSHRenderMatrixRed.33,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641,0.20641
mSHRenderMatrixGreen.00,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349,-0.02349
mSHRenderMatrixGreen.01,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582,0.00582
mSHRenderMatrixGreen.02,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128
mSHRenderMatrixGreen.03,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021,0.01021
