name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828,0.00828
mSHRenderMatrixRed.01,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107
mSHRenderMatrixRed.02,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037
mSHRenderMatrixRed.03,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373,0.00373
mSHRenderMatrixRed.10,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107,0.00107
mSHRenderMatrixRed.11,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828,-0.00828
mSHRenderMatrixRed.12,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001
mSHRenderMatrixRed.13,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094,0.04094
mSHRenderMatrixRed.20,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037,-0.00037
mSHRenderMatrixRed.21,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001,-0.00001
