name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173
mSHRenderMatrixRed.01,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965
mSHRenderMatrixRed.02,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325
mSHRenderMatrixRed.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
mSHRenderMatrixRed.10,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965
mSHRenderMatrixRed.11,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173
mSHRenderMatrixRed.12,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036
mSHRenderMatrixRed.13,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174
mSHRenderMatrixRed.20,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325
mSHRenderMatrixRed.21,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036
