# ------------------------------------------------------------------------------------------
# outfit_name,headwear_piece,head,facewear,chest_piece,hands,leg_piece,feet_piece,
#
OUTFIT_COWBOY,cowboy,naked,NONE,cowboy,Banana_Hammock,cowboy,cowboy_over,
OUTFIT_DEFAULT,base,naked,NONE,default,Banana_Hammock,default,Default_Riding_Boots_over,
OUTFIT_COOP_DEFAULT,base,naked,NONE,champions_jacket2,Banana_Hammock,default,Default_Riding_Boots_over,
OUTFIT_DEMO_FIRST_DEFAULT,base,naked,Novelty_Glasses,Kids_Super_Hero_Costume,Banana_Hammock,Kids_Super_Hero_Costume,White_Tennis_Shoes_Socks_over,
OUTFIT_SECOND_DEMO_DEFAULT,Football_Helmet,naked,NONE,American_Showman_Outfit,Banana_Hammock,American_Showman_Outfit,default_under,
OUTFIT_NAKED,base,naked,NONE,naked,naked,naked,naked_over,
OUTFIT_MALLPATROL,NONE,naked,NONE,mallpatrol,Banana_Hammock,mallpatrol,mallpatrol_over,
OUTFIT_TIR,tir_outfit,naked,NONE,tir_outfit,tir_outfit,tir_outfit,tir_outfit_over,
OUTFIT_TIR_FAN,NONE,naked,NONE,TIR_Souvenir_Clothing,naked,TIR_Souvenir_Clothing,NONE,
OUTFIT_ARTHUR,arthur,naked,arthur,arthur,arthur,arthur,Knight_Boots_over,
OUTFIT_SWAT_HELMET,Swat_Helmet,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_RUSSIAN_HAT,Russian_Hat,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_SHOW_GIRL_HEAD_PIECE,Show_Girl_Head_Piece,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_FLOWER_HEAD_PIECE,Flower_Head_Piece,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_KNIGHT_HELMET,arthur,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_HOCKEY_MASK,NONE,naked,Hockey_Mask,NONE,NONE,NONE,NONE,
OUTFIT_GHOST_MASK,base,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_BALD_NO_HAIR,Bald_No_Hair,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_MOHAWK_HAIR,Mohawk_Hair,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_CHUCK_COLOURED_HAIR_PINK,Chuck_Coloured_Hair_Pink,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_CHUCK_COLOURED_HAIR_GREY,Chuck_Coloured_Hair_Grey,naked,NONE,NONE,NONE,NONE,NONE,
OUTFIT_CHUCK_COLOURED_HAIR_BLUE,Chuck_Coloured_Hair_Blue,naked,NONE,NONE,NONE,NONE,NONE,
