name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094,-0.00094
mSHRenderMatrixRed.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mSHRenderMatrixRed.02,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051
mSHRenderMatrixRed.03,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737
mSHRenderMatrixRed.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mSHRenderMatrixRed.11,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094,0.00094
mSHRenderMatrixRed.12,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299
mSHRenderMatrixRed.13,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135
mSHRenderMatrixRed.20,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051
mSHRenderMatrixRed.21,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299,0.00299
mSHRenderMatrixRed.22,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098,-0.00098
mSHRenderMatrixRed.23,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325
mSHRenderMatrixRed.30,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737,-0.00737
mSHRenderMatrixRed.31,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135,0.06135
mSHRenderMatrixRed.32,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325,0.01325
mSHRenderMatrixRed.33,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142,0.43142
mSHRenderMatrixGreen.00,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077,-0.00077
mSHRenderMatrixGreen.01,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
mSHRenderMatrixGreen.02,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051
mSHRenderMatrixGreen.03,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502
mSHRenderMatrixGreen.10,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
mSHRenderMatrixGreen.11,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077,0.00077
mSHRenderMatrixGreen.12,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193
mSHRenderMatrixGreen.13,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437
mSHRenderMatrixGreen.20,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051,-0.00051
mSHRenderMatrixGreen.21,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193
mSHRenderMatrixGreen.22,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114,-0.00114
mSHRenderMatrixGreen.23,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869
mSHRenderMatrixGreen.30,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502,-0.00502
mSHRenderMatrixGreen.31,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437,0.04437
mSHRenderMatrixGreen.32,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869,0.00869
mSHRenderMatrixGreen.33,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728,0.30728
mSHRenderMatrixBlue.00,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042
mSHRenderMatrixBlue.01,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
mSHRenderMatrixBlue.02,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035
mSHRenderMatrixBlue.03,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345,-0.00345
mSHRenderMatrixBlue.10,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
mSHRenderMatrixBlue.11,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042,-0.00042
mSHRenderMatrixBlue.12,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128,0.00128
mSHRenderMatrixBlue.13,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992,0.02992
mSHRenderMatrixBlue.20,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035,-0.00035
