name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041,-0.02041
mSHRenderMatrixRed.01,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873
mSHRenderMatrixRed.02,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429
mSHRenderMatrixRed.03,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066
mSHRenderMatrixRed.10,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873,0.00873
mSHRenderMatrixRed.11,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041,0.02041
mSHRenderMatrixRed.12,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778
mSHRenderMatrixRed.13,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436
mSHRenderMatrixRed.20,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429,0.00429
mSHRenderMatrixRed.21,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778,0.01778
mSHRenderMatrixRed.22,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639,-0.00639
mSHRenderMatrixRed.23,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469
mSHRenderMatrixRed.30,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066
mSHRenderMatrixRed.31,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436,0.07436
mSHRenderMatrixRed.32,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469,0.05469
mSHRenderMatrixRed.33,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854,0.33854
mSHRenderMatrixGreen.00,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018
mSHRenderMatrixGreen.01,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735
mSHRenderMatrixGreen.02,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383,0.00383
mSHRenderMatrixGreen.03,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043
mSHRenderMatrixGreen.10,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735,0.00735
mSHRenderMatrixGreen.11,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
mSHRenderMatrixGreen.12,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158
