name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371,-0.00371
mSHRenderMatrixRed.01,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
mSHRenderMatrixRed.02,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322
mSHRenderMatrixRed.03,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209
mSHRenderMatrixRed.10,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
mSHRenderMatrixRed.11,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371,0.00371
mSHRenderMatrixRed.12,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377
mSHRenderMatrixRed.13,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904,0.0904
mSHRenderMatrixRed.20,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322,-0.00322
mSHRenderMatrixRed.21,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377,-0.00377
mSHRenderMatrixRed.22,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
mSHRenderMatrixRed.23,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223,-0.01223
