name,0
mSHRenderMatrixRed.00,0.05829
mSHRenderMatrixRed.01,0.00001
mSHRenderMatrixRed.02,-0.00002
mSHRenderMatrixRed.03,0
mSHRenderMatrixRed.10,0.00001
mSHRenderMatrixRed.11,-0.05829
mSHRenderMatrixRed.12,-0.0024
mSHRenderMatrixRed.13,0.15129
mSHRenderMatrixRed.20,-0.00002
mSHRenderMatrixRed.21,-0.0024
mSHRenderMatrixRed.22,0.05816
mSHRenderMatrixRed.23,0.00241
mSHRenderMatrixRed.30,0
mSHRenderMatrixRed.31,0.15129
mSHRenderMatrixRed.32,0.00241
mSHRenderMatrixRed.33,0.75563
mSHRenderMatrixGreen.00,-0.00011
mSHRenderMatrixGreen.01,0
mSHRenderMatrixGreen.02,0
mSHRenderMatrixGreen.03,0
mSHRenderMatrixGreen.10,0
mSHRenderMatrixGreen.11,0.00011
mSHRenderMatrixGreen.12,0.00001
mSHRenderMatrixGreen.13,-0.00023
mSHRenderMatrixGreen.20,0
mSHRenderMatrixGreen.21,0.00001
mSHRenderMatrixGreen.22,-0.00011
mSHRenderMatrixGreen.23,0
mSHRenderMatrixGreen.30,0
mSHRenderMatrixGreen.31,-0.00023
mSHRenderMatrixGreen.32,0
mSHRenderMatrixGreen.33,0.00111
mSHRenderMatrixBlue.00,-0.00006
mSHRenderMatrixBlue.01,0
mSHRenderMatrixBlue.02,0
mSHRenderMatrixBlue.03,0
mSHRenderMatrixBlue.10,0
mSHRenderMatrixBlue.11,0.00006
mSHRenderMatrixBlue.12,0
mSHRenderMatrixBlue.13,-0.00011
mSHRenderMatrixBlue.20,0
mSHRenderMatrixBlue.21,0
mSHRenderMatrixBlue.22,-0.00006
mSHRenderMatrixBlue.23,0
mSHRenderMatrixBlue.30,0
mSHRenderMatrixBlue.31,-0.00011
mSHRenderMatrixBlue.32,0
mSHRenderMatrixBlue.33,0.00017
xFogColour.x,0.6
xFogColour.y,1.9
xFogColour.z,1
xFogColour.w,1
xFogStart,15
xFogEnd,200
xFogMax,0.4
mKeyLightColour.x,0
mKeyLightColour.y,0
mKeyLightColour.z,0
mKeyLightColour.w,0
mKeyLightDirection.x,0.01
mKeyLightDirection.y,-1
mKeyLightDirection.z,-0.02
mCascadedShadowDistances.x,7.5
mCascadedShadowDistances.y,14
mCascadedShadowDistances.z,44
mCascadedShadowDistances.w,7.5
mBloomScale,9
mBlurWidth,4
mBlurDeviation,8
mExposureMinimum,0.4
mExposureMaximum,1.2
xDesiredLuminance,0.06
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.4
mCSMMaxYHeight,6
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,1.5
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,3
mBloom2Width,4
mBloom2Deviation,8
mBloom3Scale,6
mBloom3Width,8
mBloom3Deviation,8
mColourCubeIdx,5
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mCharacterRimLightColour.x,2
mCharacterRimLightColour.y,0
mCharacterRimLightColour.z,0
mZombieRimLightColour.x,2
mZombieRimLightColour.y,0
mZombieRimLightColour.z,0
mTintColour.x,1.3
mTintColour.y,1
mTintColour.z,1
mContrastMidpoint,0.5
mContrast,1
mSaturation,0.8
