name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972
mSHRenderMatrixRed.01,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955
mSHRenderMatrixRed.02,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334
mSHRenderMatrixRed.03,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851
mSHRenderMatrixRed.10,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955
mSHRenderMatrixRed.11,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972
mSHRenderMatrixRed.12,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627
mSHRenderMatrixRed.13,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206
mSHRenderMatrixRed.20,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334
mSHRenderMatrixRed.21,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627
mSHRenderMatrixRed.22,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784
mSHRenderMatrixRed.23,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
mSHRenderMatrixRed.30,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851
mSHRenderMatrixRed.31,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206
mSHRenderMatrixRed.32,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
mSHRenderMatrixRed.33,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241
mSHRenderMatrixGreen.00,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972
mSHRenderMatrixGreen.01,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955
mSHRenderMatrixGreen.02,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334
mSHRenderMatrixGreen.03,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851
mSHRenderMatrixGreen.10,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955
mSHRenderMatrixGreen.11,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972,-0.03972
mSHRenderMatrixGreen.12,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627
mSHRenderMatrixGreen.13,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206
mSHRenderMatrixGreen.20,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334
mSHRenderMatrixGreen.21,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627,-0.01627
mSHRenderMatrixGreen.22,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784,0.03784
mSHRenderMatrixGreen.23,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
mSHRenderMatrixGreen.30,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851,-0.00851
mSHRenderMatrixGreen.31,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206
mSHRenderMatrixGreen.32,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474,0.0474
mSHRenderMatrixGreen.33,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241,0.77241
mSHRenderMatrixBlue.00,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972,0.03972
mSHRenderMatrixBlue.01,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955,0.00955
mSHRenderMatrixBlue.02,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334,0.00334
