name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148
mSHRenderMatrixRed.01,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232
mSHRenderMatrixRed.02,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043
mSHRenderMatrixRed.03,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327,0.00327
mSHRenderMatrixRed.10,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232,0.00232
mSHRenderMatrixRed.11,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148,0.0148
mSHRenderMatrixRed.12,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393
mSHRenderMatrixRed.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
mSHRenderMatrixRed.20,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043,-0.00043
mSHRenderMatrixRed.21,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393,-0.01393
