name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549,0.01549
mSHRenderMatrixRed.01,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
mSHRenderMatrixRed.02,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534
mSHRenderMatrixRed.03,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294
mSHRenderMatrixRed.10,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
mSHRenderMatrixRed.11,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549,-0.01549
mSHRenderMatrixRed.12,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067
mSHRenderMatrixRed.13,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917
mSHRenderMatrixRed.20,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534,-0.00534
mSHRenderMatrixRed.21,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067,-0.00067
mSHRenderMatrixRed.22,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706,0.01706
mSHRenderMatrixRed.23,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424
mSHRenderMatrixRed.30,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294,-0.00294
mSHRenderMatrixRed.31,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917,0.03917
mSHRenderMatrixRed.32,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424,0.00424
mSHRenderMatrixRed.33,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866,0.19866
