name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
mSHRenderMatrixRed.01,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041
mSHRenderMatrixRed.02,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325
mSHRenderMatrixRed.03,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468
mSHRenderMatrixRed.10,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041,-0.00041
mSHRenderMatrixRed.11,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068,-0.0068
mSHRenderMatrixRed.12,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036
mSHRenderMatrixRed.13,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021
mSHRenderMatrixRed.20,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325
mSHRenderMatrixRed.21,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036
mSHRenderMatrixRed.22,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114
mSHRenderMatrixRed.23,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141
mSHRenderMatrixRed.30,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468,-0.01468
mSHRenderMatrixRed.31,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021,-0.00021
mSHRenderMatrixRed.32,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141,0.01141
mSHRenderMatrixRed.33,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882,0.06882
