name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.02616,0.02616,0.02616,0.02616,0.02616,0.02616,0.02616,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.02616,0.02616,0.02616,0.02616,0.02616
mSHRenderMatrixRed.01,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,0.00214,0.00214,0.00214,0.00214,0.00214
mSHRenderMatrixRed.02,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249
mSHRenderMatrixRed.03,-0.00433,-0.00433,-0.00433,-0.00433,-0.00433,-0.00433,-0.00433,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.00433,-0.00433,-0.00433,-0.00433,-0.00433
mSHRenderMatrixRed.10,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,0.00214,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,-0.00965,0.00214,0.00214,0.00214,0.00214,0.00214
mSHRenderMatrixRed.11,-0.02616,-0.02616,-0.02616,-0.02616,-0.02616,-0.02616,-0.02616,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.00173,-0.02616,-0.02616,-0.02616,-0.02616,-0.02616
mSHRenderMatrixRed.12,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,-0.002,-0.002,-0.002,-0.002,-0.002
mSHRenderMatrixRed.13,0.01072,0.01072,0.01072,0.01072,0.01072,0.01072,0.01072,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.06174,0.01072,0.01072,0.01072,0.01072,0.01072
mSHRenderMatrixRed.20,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00325,-0.00249,-0.00249,-0.00249,-0.00249,-0.00249
mSHRenderMatrixRed.21,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,-0.002,-0.002,-0.002,-0.002,-0.002
mSHRenderMatrixRed.22,0.01089,0.01089,0.01089,0.01089,0.01089,0.01089,0.01089,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,-0.00128,0.01089,0.01089,0.01089,0.01089,0.01089
mSHRenderMatrixRed.23,0.02977,0.02977,0.02977,0.02977,0.02977,0.02977,0.02977,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,-0.00928,0.02977,0.02977,0.02977,0.02977,0.02977
