name,0
mSHRenderMatrixRed.00,0.00173
mSHRenderMatrixRed.01,-0.00965
mSHRenderMatrixRed.02,-0.00325
mSHRenderMatrixRed.03,-0.02
mSHRenderMatrixRed.10,-0.00965
mSHRenderMatrixRed.11,-0.00173
mSHRenderMatrixRed.12,0.00036
mSHRenderMatrixRed.13,0.06174
mSHRenderMatrixRed.20,-0.00325
mSHRenderMatrixRed.21,0.00036
mSHRenderMatrixRed.22,-0.00128
mSHRenderMatrixRed.23,-0.00928
mSHRenderMatrixRed.30,-0.02
mSHRenderMatrixRed.31,0.06174
mSHRenderMatrixRed.32,-0.00928
mSHRenderMatrixRed.33,0.21818
mSHRenderMatrixGreen.00,0.00031
mSHRenderMatrixGreen.01,-0.01061
mSHRenderMatrixGreen.02,-0.00352
mSHRenderMatrixGreen.03,-0.02209
mSHRenderMatrixGreen.10,-0.01061
mSHRenderMatrixGreen.11,-0.00031
mSHRenderMatrixGreen.12,0.0004
mSHRenderMatrixGreen.13,0.06839
mSHRenderMatrixGreen.20,-0.00352
mSHRenderMatrixGreen.21,0.0004
mSHRenderMatrixGreen.22,-0.00148
mSHRenderMatrixGreen.23,-0.00926
mSHRenderMatrixGreen.30,-0.02209
mSHRenderMatrixGreen.31,0.06839
mSHRenderMatrixGreen.32,-0.00926
mSHRenderMatrixGreen.33,0.23577
mSHRenderMatrixBlue.00,-0.00479
mSHRenderMatrixBlue.01,-0.01511
mSHRenderMatrixBlue.02,-0.00479
mSHRenderMatrixBlue.03,-0.03167
mSHRenderMatrixBlue.10,-0.01511
mSHRenderMatrixBlue.11,0.00479
mSHRenderMatrixBlue.12,0.00092
mSHRenderMatrixBlue.13,0.09817
mSHRenderMatrixBlue.20,-0.00479
mSHRenderMatrixBlue.21,0.00092
mSHRenderMatrixBlue.22,-0.00201
mSHRenderMatrixBlue.23,-0.00951
mSHRenderMatrixBlue.30,-0.03167
mSHRenderMatrixBlue.31,0.09817
mSHRenderMatrixBlue.32,-0.00951
mSHRenderMatrixBlue.33,0.31882
xFogColour.x,0.4
xFogColour.y,0.5
xFogColour.z,0.6
xFogColour.w,1
xFogStart,15
xFogEnd,500
xFogMax,0.85
mKeyLightColour.x,0
mKeyLightColour.y,0
mKeyLightColour.z,0
mKeyLightColour.w,0
mKeyLightDirection.x,0.8
mKeyLightDirection.y,-1
mKeyLightDirection.z,-0.02
mCascadedShadowDistances.x,7.5
mCascadedShadowDistances.y,15
mCascadedShadowDistances.z,50
mCascadedShadowDistances.w,7.5
mBloomScale,1
mBlurWidth,1
mBlurDeviation,1
mExposureMinimum,0.5
mExposureMaximum,1.5
xDesiredLuminance,0.15
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.35
mCSMMaxYHeight,26
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,1
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,1
mBloom2Width,4
mBloom2Deviation,8
mBloom3Scale,1
mBloom3Width,6
mBloom3Deviation,8
mColourCubeIdx,0
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
