name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541,-0.01541
mSHRenderMatrixRed.01,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047
mSHRenderMatrixRed.02,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316
mSHRenderMatrixRed.03,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217
mSHRenderMatrixRed.10,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047,0.02047
mSHRenderMatrixRed.11,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541,0.01541
mSHRenderMatrixRed.12,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175
mSHRenderMatrixRed.13,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042
mSHRenderMatrixRed.20,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316,0.00316
mSHRenderMatrixRed.21,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175,0.02175
mSHRenderMatrixRed.22,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373,-0.01373
mSHRenderMatrixRed.23,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981
mSHRenderMatrixRed.30,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217,0.04217
mSHRenderMatrixRed.31,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042,0.12042
mSHRenderMatrixRed.32,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981,0.03981
mSHRenderMatrixRed.33,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904,0.28904
