name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mSHRenderMatrixRed.00,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121
mSHRenderMatrixRed.01,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
mSHRenderMatrixRed.02,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
mSHRenderMatrixRed.03,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013
mSHRenderMatrixRed.10,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
mSHRenderMatrixRed.11,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121,-0.00121
mSHRenderMatrixRed.12,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
mSHRenderMatrixRed.13,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334
mSHRenderMatrixRed.20,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012
mSHRenderMatrixRed.21,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
mSHRenderMatrixRed.22,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085
mSHRenderMatrixRed.23,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
mSHRenderMatrixRed.30,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013
mSHRenderMatrixRed.31,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334,0.01334
mSHRenderMatrixRed.32,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
mSHRenderMatrixRed.33,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596,0.15596
mSHRenderMatrixGreen.00,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184,0.00184
mSHRenderMatrixGreen.01,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
mSHRenderMatrixGreen.02,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031
mSHRenderMatrixGreen.03,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054
mSHRenderMatrixGreen.10,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
mSHRenderMatrixGreen.11,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184,-0.00184
